# weights, mloglkl, A_IA, D_z1, D_z2, D_z3, D_z4, D_z5
9.900944572151380546e-85 3.807890164644733773e+02 -4.831609725952148438e+00 -9.627266764640804442e-03 -4.820540249347687184e-02 4.260861468315124689e-02 1.175771856307983310e-02 8.782906651496884265e-03
2.177796565601649937e-84 3.799997479194718721e+02 -4.925193071365356445e+00 3.627925443649292203e-02 6.546454918384553290e-02 2.785430288314819092e-02 3.363284111022948886e-03 1.988125562667846652e-02
4.497824381831445984e-83 3.769708826332403078e+02 -4.329081058502197266e+00 -1.104459085464477575e-01 -4.959948313236237083e-02 -5.057308530807495123e-02 2.745714712142944408e-02 5.174141407012937399e-03
1.178365736431144460e-82 3.760067628400135504e+02 -4.546769857406616211e+00 -1.023648601770401068e-01 -1.385031831264495888e-02 1.030737876892090510e-03 -2.237250709533691179e-02 -1.576579141616821222e-02
1.697594650323112434e-82 3.756406790118538765e+02 -4.512747287750244141e+00 -6.970188224315643222e-02 -1.599687051773071578e-02 -3.429190492630004861e-02 -1.446583557128906100e-02 -2.691665410995483509e-02
2.398976981568575993e-82 3.752938489606083294e+02 -4.567328453063964844e+00 1.194188010692597002e-02 1.555965542793275036e-03 -7.025995373725890669e-02 -1.348891925811767506e-02 -2.697098135948181735e-03
4.885939992200548328e-82 3.745815296582286464e+02 -4.710073471069335938e+00 -6.614474308490753129e-02 9.488531470298766646e-03 3.082387161254883379e-02 1.162721300125121870e-02 -2.945149433612823803e-02
5.113808506634871586e-82 3.745349469181695667e+02 -4.701451063156127930e+00 8.188448202610017213e-02 1.405293560028075817e-02 -1.250103950500487671e-02 9.338623523712154262e-03 -2.389545714855194347e-02
2.030261192323575362e-81 3.731551418054685882e+02 -4.714758396148681641e+00 2.747523808479308827e-02 5.820980072021483820e-02 -3.745491600036621183e-02 1.634542894363403415e-02 3.445818901062012996e-03
4.281263796550024942e-81 3.724080580108397385e+02 -4.789838790893554688e+00 1.085477113723753995e-03 6.500448381900789108e-02 1.664314556121826438e-02 -3.795390129089352971e-03 2.095730495452880621e-02
4.948396709977781105e-81 3.722622426292743398e+02 -4.573616981506347656e+00 7.958935332298279486e-02 -1.559953236579895292e-02 -3.534823179244995367e-02 -2.699701738357543693e-02 9.509267091751101575e-03
1.633326496036846910e-79 3.687645173400868543e+02 -4.450365543365478516e+00 1.008436356782913129e-01 2.697247946262359974e-02 -5.788496232032776245e-02 -1.475654411315917985e-02 4.506506323814392367e-03
4.230981250673948509e-78 3.655091170371217117e+02 -4.430846929550170898e+00 8.974794960021974244e-02 1.554377210140228671e-02 -6.187153530120849398e-02 2.123966646194457714e-02 1.279046773910522822e-02
4.864943603723796408e-78 3.653684958541077208e+02 -4.629212379455566406e+00 9.141334927082063466e-02 -9.920934677124022827e-03 3.455177450180053900e-02 -9.645948886871338196e-03 -1.295012140274047832e-02
5.217826221626657778e-78 3.652974700949088174e+02 -4.463180780410766602e+00 -4.447814512252808161e-02 -5.386815798282623691e-02 2.184818029403685913e-02 3.161667394638061762e-02 3.142656326293945257e-02
1.362176183718466580e-77 3.643368823284556584e+02 -4.345889568328857422e+00 1.277089083194733743e-02 -4.557165741920471413e-03 -6.836299324035643998e-02 1.149336004257202337e-02 -3.143951761722564575e-02
1.614173913952823598e-76 3.618635574740233665e+02 -4.425574779510498047e+00 1.132370377779007148e-01 -3.847335684299468817e-02 1.663051843643188754e-02 1.898283863067627003e-02 -2.380503630638122758e-02
3.336538506089366948e-76 3.611364468972865893e+02 -4.352176666259765625e+00 -4.734307050704956998e-02 -8.860576629638669544e-03 -4.895656228065491111e-02 1.960566473007201854e-02 2.637104487419128507e-02
