# weights, mloglkl, A_IA, D_z1, D_z2, D_z3, D_z4, D_z5
3.809230818660911441e-37 2.668756350311354026e+02 -5.985252857208251953e+00 -1.056919634342193270e-02 1.627143573760986284e-02 -5.526579165458679610e-02 -2.448367595672608366e-03 -1.241710066795347067e-03
5.715127851306345616e-37 2.664689456468478284e+02 -5.546009302139282227e+00 1.066266263723373436e-01 -5.596777582168579318e-02 3.382197690010070590e-02 3.453385734558105796e-02 -6.576579093933106884e-03
6.492846494454660743e-37 2.663403612834777618e+02 -5.892329692840576172e+00 -1.044446536302566647e-01 -5.742525815963739344e-03 1.994833731651306230e-02 2.493523979187011602e-02 -1.350113582611084037e-02
1.263806243255287703e-36 2.656733492266216103e+02 -5.603818416595458984e+00 8.569001197814941906e-02 1.750965249538422031e-02 -6.022721028327941706e-02 5.661349296569820333e-03 -2.470900869369507119e-02
1.775647628170839690e-36 2.653323120047093653e+02 -5.580164194107055664e+00 6.578333580493926636e-02 -2.525276184082031472e-02 -6.799833154678344704e-02 -1.944901514053344604e-02 -7.155772089958191418e-03
1.126537951851003410e-35 2.634837429586571602e+02 -5.889594554901123047e+00 7.515183484554290028e-02 6.593488812446593461e-02 7.537226557731628585e-02 -2.938254404067992820e-02 7.308588624000550427e-03
1.416338612582974414e-35 2.632538170291746269e+02 -5.618579864501953125e+00 6.966319191455842830e-02 -6.784970498085023116e-02 2.669901394844055587e-02 -2.821833658218383598e-02 -1.110763299465179418e-02
1.615749597698217242e-35 2.631210931328652691e+02 -5.734992027282714844e+00 -5.854777014255523743e-02 4.950563085079193182e-02 -4.108916616439819286e-02 -2.849929475784301544e-02 4.221502661705019144e-03
1.840715176583876327e-35 2.629897379500092143e+02 -5.661117553710937500e+00 8.995116448402405707e-02 -4.379129362106323753e-02 3.507640457153320124e-02 -9.860959053039561328e-04 -2.641796457767486839e-02
1.898375286697154051e-35 2.629578937209478227e+02 -5.348844766616821289e+00 1.028321009874343800e-01 -6.094786083698273266e-02 -1.283149266242980535e-02 2.402115154266357133e-02 1.141467440128326322e-02
1.927418436432564683e-35 2.629417106192073561e+02 -5.573135375976562500e+00 -8.089680469036103494e-02 2.006163668632507391e-02 -5.270348024368286255e-02 2.914440250396727744e-02 1.340610837936401234e-02
2.067005427058371833e-35 2.628707912227697534e+02 -5.541649103164672852e+00 -1.150933506488800162e-01 -3.586190271377563688e-02 1.819945263862610130e-02 -1.548516082763671739e-02 -2.636698114871978763e-02
